word0,word1,word2,word3,word4,word5,word6,word7,word8
molecule,macromolecule,protein,plasma protein,coagulation factor,calcium ion,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,proaccelerin,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,proconvertin,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,antihemophilic factor,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,Christmas factor,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,prothrombinase,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,plasma thromboplastin antecedent,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,Hageman factor,,,
molecule,macromolecule,protein,plasma protein,coagulation factor,fibrinase,,,
molecule,macromolecule,protein,prostate specific antigen,,,,,
molecule,macromolecule,protein,proteome,,,,,
molecule,macromolecule,protein,simple protein,actin,,,,
molecule,macromolecule,protein,simple protein,albumin,ricin,,,
molecule,macromolecule,protein,simple protein,albumin,lactalbumin,,,
molecule,macromolecule,protein,simple protein,albumin,serum albumin,,,
molecule,macromolecule,protein,simple protein,globulin,alpha globulin,,,
molecule,macromolecule,protein,simple protein,globulin,serum globulin,C-reactive protein,,
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,immunoglobulin A,
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,immunoglobulin D,
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,immunoglobulin E,reagin
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,immunoglobulin G,
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,immunoglobulin M,
molecule,macromolecule,protein,simple protein,globulin,gamma globulin,immunoglobulin,tetanus immunoglobulin,
molecule,macromolecule,protein,simple protein,globulin,myosin,,,
molecule,macromolecule,protein,simple protein,globulin,transferrin,,,
molecule,macromolecule,protein,simple protein,globin,,,,
molecule,macromolecule,protein,simple protein,glutelin,,,,
molecule,macromolecule,protein,simple protein,histone,,,,
molecule,macromolecule,protein,simple protein,prolamine,,,,
molecule,macromolecule,protein,simple protein,protamine,,,,
molecule,macromolecule,protein,simple protein,scleroprotein,collagen,,,
molecule,macromolecule,protein,simple protein,scleroprotein,elastin,,,
molecule,macromolecule,protein,simple protein,scleroprotein,gelatin,,,
molecule,macromolecule,protein,simple protein,scleroprotein,chondrin,,,
molecule,macromolecule,protein,simple protein,scleroprotein,keratin,,,
molecule,macromolecule,protein,cytokine,tumor necrosis factor,,,,
molecule,macromolecule,protein,cytokine,lymphokine,interleukin,,,
